"FOM Properties"
"Average Response Time                "
"Minimum number of assets required: 1 "
"Satisfaction is not enabled          "
"FOM value range check is not enabled."

"Time (UTCG)","FOM Value (sec)"
1 Jul 2007 21:43:00.000,8035.567
1 Jul 2007 21:44:00.000,7975.567
1 Jul 2007 21:45:00.000,7915.567
1 Jul 2007 21:46:00.000,7855.567
1 Jul 2007 21:47:00.000,7795.567
1 Jul 2007 21:48:00.000,7735.567
1 Jul 2007 21:49:00.000,7675.567
1 Jul 2007 21:50:00.000,7615.567
1 Jul 2007 21:51:00.000,7555.567
1 Jul 2007 21:52:00.000,7495.567
1 Jul 2007 21:53:00.000,7435.567
1 Jul 2007 21:54:00.000,7375.567
1 Jul 2007 21:55:00.000,7315.567
1 Jul 2007 21:56:00.000,7255.567
1 Jul 2007 21:57:00.000,7195.567
1 Jul 2007 21:58:00.000,7135.567
1 Jul 2007 21:59:00.000,7075.567
1 Jul 2007 22:00:00.000,7015.567
1 Jul 2007 22:01:00.000,6955.567
1 Jul 2007 22:02:00.000,6895.567
1 Jul 2007 22:03:00.000,6835.567
1 Jul 2007 22:04:00.000,6775.567
1 Jul 2007 22:05:00.000,6715.567
1 Jul 2007 22:06:00.000,6655.567
1 Jul 2007 22:07:00.000,6595.567
1 Jul 2007 22:08:00.000,6535.567
1 Jul 2007 22:09:00.000,6475.567
1 Jul 2007 22:10:00.000,6415.567
1 Jul 2007 22:11:00.000,6355.567
1 Jul 2007 22:12:00.000,6295.567
1 Jul 2007 22:13:00.000,6235.567
1 Jul 2007 22:14:00.000,6175.567
1 Jul 2007 22:15:00.000,6115.567
1 Jul 2007 22:16:00.000,6055.567
1 Jul 2007 22:17:00.000,5995.567
1 Jul 2007 22:18:00.000,5935.567
1 Jul 2007 22:19:00.000,5875.567
1 Jul 2007 22:20:00.000,5815.567
1 Jul 2007 22:21:00.000,5755.567
1 Jul 2007 22:22:00.000,5695.567
1 Jul 2007 22:23:00.000,5635.567
1 Jul 2007 22:24:00.000,5575.567
1 Jul 2007 22:25:00.000,5515.567
